,gt_covid_symptoms,gt_loss_of_smell,gt_loss_of_taste,gt_fever,gt_cough,gt_pcr_test,gt_pcr_take,gt_antigen_test,gt_hospitalization,gt_hospital,gt_vaccine,gt_vaccination,gt_self_isolation,gt_lockdown,gt_qr_code
2021-08-19,4.669140383426098,0.0,0.0,0.0,0.0,32.68398268398268,4.669140383426098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.338280766852195
2021-08-20,4.700061842918986,0.0,0.0,0.0,0.0,32.9004329004329,4.700061842918986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.400123685837972
2021-08-21,4.7309833024118735,0.0,0.0,0.0,0.0,33.116883116883116,4.7309833024118735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.461966604823747
2021-08-22,4.761904761904762,0.0,0.0,0.0,0.0,33.33333333333333,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.523809523809524
2021-08-23,4.833512352309345,0.0,0.0,0.0,0.0,33.08270676691729,4.833512352309345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.66702470461869
2021-08-24,4.905119942713927,0.0,0.0,0.0,0.0,32.83208020050125,4.905119942713927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.810239885427855
2021-08-25,4.976727533118511,0.0,0.0,0.0,0.0,32.58145363408521,4.976727533118511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.953455066237021
2021-08-26,5.048335123523093,0.0,0.0,0.0,0.0,32.33082706766917,5.048335123523093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.096670247046186
2021-08-27,5.119942713927676,0.0,0.0,0.0,0.0,32.08020050125313,5.119942713927676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.239885427855352
2021-08-28,5.191550304332258,0.0,0.0,0.0,0.0,31.82957393483709,5.191550304332258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.383100608664517
2021-08-29,5.263157894736842,0.0,0.0,0.0,0.0,31.57894736842105,5.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.526315789473683
2021-08-30,5.351614329942503,0.0,0.0,0.0,0.0,32.10968597965502,5.351614329942503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.703228659885006
2021-08-31,5.440070765148164,0.0,0.0,0.0,0.0,32.64042459088898,5.440070765148164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.880141530296328
2021-09-01,5.5285272003538255,0.0,0.0,0.0,0.0,33.171163202122955,5.5285272003538255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.057054400707651
2021-09-02,5.616983635559486,0.0,0.0,0.0,0.0,33.701901813356926,5.616983635559486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.233967271118972
2021-09-03,5.705440070765148,0.0,0.0,0.0,0.0,34.23264042459089,5.705440070765148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.410880141530296
2021-09-04,5.7938965059708085,0.0,0.0,0.0,0.0,34.763379035824855,5.7938965059708085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.587793011941617
2021-09-05,5.88235294117647,0.0,0.0,0.0,0.0,35.294117647058826,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76470588235294
